*	OSC1_Ch1	OSC1_Ch2
0.0610000000000639	4.99993509526215E-6	0
0.0620000000000687	4.99993009533456E-6	0
0.0630000000000734	4.99992509541197E-6	0
0.0640000000000782	4.99992009549437E-6	0
0.065000000000083	4.99991509558177E-6	0
0.0660000000000878	4.99991009567417E-6	0
0.0670000000000925	4.99990509577158E-6	0
0.0680000000000973	4.99990009587401E-6	0
0.0690000000001021	4.9998950959814E-6	0
0.0700000000001069	4.99989009609379E-6	0
0.0710000000001116	4.99988509621119E-6	0
0.0713222769999788	3.94990556878191E-6	0
0.0713222771999824	2.94988863368643E-6	0
0.0713223808000123	-5.0001062425304E-6	0
0.0713224832000208	-5.00010624192175E-6	0
0.0713226880000093	-5.00010624103732E-6	0
0.0713230976000148	-5.00010623892426E-6	0
0.0713239168000257	-5.00010623488006E-6	0
0.0713255552000191	-5.00010622667696E-6	0
0.0713288320000061	-5.0001062103036E-6	0
0.0713353856000083	-5.00010617753456E-6	0
0.0713484928000128	-5.00010611200122E-6	0
0.0713747072000217	-5.00010598092575E-6	0
0.0714271360000112	-5.00010571877556E-6	0
0.0715319936000185	-5.0001051944773E-6	0
0.0717417088000047	-5.00010414588041E-6	0
0.0721611392000057	-5.00010204868733E-6	0
0.0730000000000075	-5.00009785430365E-6	0
0.0740000000000123	-5.00009285421328E-6	0
0.075000000000017	-5.00008785412792E-6	0
0.0760000000000218	-5.00008285404758E-6	0
0.0770000000000266	-5.00007785397223E-6	0
0.0780000000000314	-5.00007285390186E-6	0
0.0790000000000361	-5.00006785383652E-6	0
0.0800000000000409	-5.00006285377616E-6	0
0.0810000000000457	-5.00005785372081E-6	0
0.0820000000000505	-5.00005285367046E-6	0
0.0830000000000553	-5.0000478536251E-6	0
0.08400000000006	-5.00004285358473E-6	0
0.0850000000000648	-5.00003785354939E-6	0
0.0860000000000696	-5.00003285351903E-6	0
0.0870000000000744	-5.00002785349368E-6	0
0.0880000000000791	-5.00002285347334E-6	0
0.0890000000000839	-5.00001785345798E-6	0
0.0900000000000887	-5.00001285344763E-6	0
0.0910000000000935	-5.00000785344227E-6	0
0.0920000000000982	-5.00000285344192E-6	0
0.093000000000103	-4.99999785344657E-6	0
0.0940000000001078	-4.99999285345621E-6	0
0.0950000000001126	-4.99998785347086E-6	0
0.0960000000001173	-4.99998285349051E-6	0
0.0963222769999845	-3.94997491129503E-6	0
0.0963222771999881	-2.94995806158204E-6	0
0.096322380800018	5.00000848529446E-6	0
0.0963224832000265	5.0000084847968E-6	0
0.096322688000015	5.00000848376643E-6	0
0.0963230976000204	5.00000848171754E-6	0
0.0963239168000314	5.00000847762772E-6	0
0.0963255552000248	5.00000846943622E-6	0
0.0963288320000117	5.00000845305121E-6	0
0.096335385600014	5.00000842028325E-6	0
0.0963484928000184	5.00000835474718E-6	0
0.0963747072000274	5.00000822367513E-6	0
0.0964271360000168	5.00000796153095E-6	0
0.0965319936000242	5.00000743724265E-6	0
0.0967417088000104	5.00000638866626E-6	0
0.0971611392000114	5.00000429151412E-6	0
0.0980000000000132	5.00000009721248E-6	0
0.099000000000018	4.99999509721989E-6	0
0.100000000000023	4.99999009723229E-6	0
 
