*Input voltage 	VM1[1]
4.26	0.0552185631484426
4.32	0.0547945917359652
4.38	0.0543810903108673
4.44	0.0539776277903419
4.5	0.0535837984495282
4.56	0.0531992199829485
4.62	0.0528235317474214
4.68	0.0524563931665121
4.74	0.0520974822789303
4.8	0.0517464944156591
4.86	0.0514031409923156
4.92	0.0510671484049404
4.98	0.0507382570187305
5.04	0.0504162202405589
5.1	0.0501008036669988
5.16	0.0497917843006902
5.22	0.0494889498285211
5.27999999999999	0.0491920979558848
5.33999999999999	0.048901035791864
5.39999999999999	0.0486155792807713
5.45999999999999	0.048335552675858
5.51999999999999	0.0480607880515452
5.57999999999999	0.0477911248508404
5.63999999999999	0.0475264094649133
5.69999999999999	0.0472664948421505
5.75999999999999	0.0470112401242463
5.81999999999999	0.0467605103071071
5.87999999999999	0.0465141759245719
5.93999999999999	0.0462721127531434
5.99999999999999	0.0460342015360732
 
*Input voltage 	VM1[4]
0	5.99999991596958
0.06	5.99999991494398
0.12	5.99999990160652
0.18	5.99999976353348
0.24	5.99999835999169
0.3	5.99998412553416
0.36	5.99984001267859
0.42	5.99839182269902
0.48	5.9843421561578
0.54	5.86726258782286
0.6	5.2485930275928
0.66	3.61069771974326
0.72	1.06922591875663
0.78	0.0970472951958258
0.84	0.0736365747114961
0.9	0.062215750927941
0.96	0.0548378211354657
1.02	0.0494964269447013
1.08	0.0453763504980171
1.14	0.0420659499779645
1.2	0.0393287669714723
1.26	0.0370167211842684
1.32	0.0350311386381959
1.38	0.0333031102618701
1.44	0.0317827133337672
1.5	0.0304326952661164
1.56	0.0292245737038877
1.62	0.0281361236245125
1.68	0.0271496996429989
1.74	0.0262510817990615
1.8	0.0254286607992009
1.86	0.0246728499162705
1.92	0.0239756521311495
1.98	0.0233303360045597
2.04	0.0227311892228374
2.1	0.0221733152670551
2.16	0.021652540814729
2.22	0.0211652113887389
2.28	0.020708159268136
2.34	0.0202786122274825
2.4	0.0198741326242741
2.46	0.0194925675731751
2.52	0.0191320078934201
2.58	0.0187907540567466
2.64	0.0184672877652445
2.7	0.0181602480899033
2.76	0.0178684113288189
2.82	0.0175906739184306
2.88	0.0173260378655516
2.94	0.0170735982723779
3	0.0168325326084254
3.06	0.0166020914477702
3.12	0.016381590441138
3.18	0.0161704033332369
3.24	0.0159679558685505
3.3	0.0157737204553318
3.36	0.015587211479081
3.42	0.0154079811743858
3.48	0.015235615978418
3.54	0.0150697333012965
3.6	0.0149099786583472
3.66	0.0147560231174832
3.72	0.0146075610217699
3.78	0.0144643079529385
3.84	0.0143259989064271
3.9	0.0141923866526115
3.96	0.0140632402622808
4.02	0.0139383437773696
4.08	0.0138174950104204
4.14	0.0137005044583879
4.2	0.0135871943182043
4.26	0.0134773975931018
4.32	0.0133709572800277
4.38	0.0132677256296458
4.44	0.0131675634714524
4.5	0.0130703395973645
4.56	0.0129759301979458
4.62	0.0128842183460697
4.68	0.0127950935234053
4.74	0.0127084511856267
4.8	0.0126241923626818
4.86	0.0125422232908605
4.92	0.0124624550737239
4.98	0.0123848033692966
5.04	0.0123091881011536
